PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,Month,Season,Is_Winter,City_Encoded
-0.5513735510042792,-0.39364977684869945,-0.25051053072822316,-1.350850547811793,-0.4515521195605557,-0.686321206797418,-0.23535267810279012,-0.11625718054339285,-1.00122599676049,-0.4494386560852635,-0.4097028494631127,-0.32075291570692527,0.18255850610491378,0.4753539726407711,-0.5630378409110967,0.7749816346684913
0.61932691474115,0.6224038727365401,1.8578209206727552,1.9076020842497503,2.65986181631726,0.7728954834342985,0.3540909543312662,2.7472244366462983,0.8644799546282065,0.019438983786905933,0.02007840582863134,-0.32588902557432126,-0.9916668065057976,-0.436892084453581,-0.5630378409110967,-0.22597236773254525
0.05658818826540084,0.044720256907058546,-0.025683863728302638,1.2586749098929,-0.5572702739661121,-0.470667583068492,-0.565608330317616,-0.36468105873059264,0.46704867167027986,-0.5932776133368852,-0.6963389400800523,-0.62378339788329,-1.5787794628111533,-1.349138141547933,1.776079558670195,0.7749816346684913
-0.8113647627395683,-0.866304605031312,-0.41292841602644165,-0.663697003354433,-0.41687209007301873,-0.09149637651213866,-0.20190906775192172,-0.19554139698611614,-0.6033221439060618,-0.3877933886917113,-0.006890973023143345,-0.13071685061327282,0.4761148342575916,0.4753539726407711,-0.5630378409110967,-0.22597236773254525
-0.1693624283850023,-0.2441215510076825,-0.36835071481094017,0.3536771117302241,-0.16152638908816963,-0.7123892272481673,-0.2395331293966487,-0.577427039518567,-0.6784607574498315,-0.24395443144008966,0.07401716353218096,-0.42347511305484553,1.650340146868303,-1.349138141547933,1.776079558670195,0.7749816346684913
0.046228007152609274,-0.27324845600748826,0.13557112501646795,-0.14510793428004456,-0.5939080470537519,-0.02573387037502093,-0.47781885314658634,1.054506415594155,0.4401121875696832,-0.30186362202191136,-0.41488926847306934,-0.32588902557432126,-0.9916668065057976,-0.436892084453581,-0.5630378409110967,-0.22597236773254525
-0.3872551263921232,-0.9248618202913382,-0.6865967382711724,-1.2693316621757658,-0.8556863341532247,-1.0240205626366703,-0.3900293759755567,-0.7254242435449839,-0.3986993787208273,-0.34482850535681137,-0.45568909801806196,-0.32588902557432126,-0.40455415020044194,-0.436892084453581,-0.5630378409110967,-1.2269263701335817
2.2009812312939716,2.274142110433861,4.440226533695981,2.228611481358852,4.699271292310161,1.6669100938929504,-0.04723236987915517,-0.11493577693601416,-0.17848180695103688,3.088626084623458,0.9418779445315997,0.614019080159149,1.650340146868303,-1.349138141547933,1.776079558670195,1.7759356370695278
-0.2132698626249278,0.28006160390201706,-0.25361158820408414,0.3099240375187972,-0.06391888674018237,0.3131503954847199,0.06563981505502584,-0.8998495197189752,-0.12649911833585023,-0.4176820031855548,-0.6811254443175125,-0.32588902557432126,-0.9916668065057976,-0.436892084453581,-0.5630378409110967,-1.2269263701335817
-0.28085771083694794,-0.45984269116249427,-0.2644652893695976,-0.0879986584672344,0.01942505509276936,-0.39424088674697705,0.10744432799361142,0.014561776587100691,0.1324691849470791,-0.4681190401439157,-0.41143165579976493,-0.27452792690036115,-0.6981104783531198,-0.436892084453581,-0.5630378409110967,0.7749816346684913
-0.9259845442572764,-1.1000277906373925,-0.4993703931660663,-1.1795227203733627,-0.8629579532393212,-1.3463160882095708,-0.5447060738483233,-0.6382116054579882,0.1674393572882047,-0.5839374213075592,-0.6797423992481908,-0.634055617618082,0.7696711624102694,1.3876000297351232,-0.5630378409110967,0.7749816346684913
0.17482581080662338,0.09973774412891394,-0.565267864528112,0.1745197868013279,-0.30975554738167455,-0.864650164880953,-0.2478940319843658,-0.5642130034447798,-0.4005896583068342,-0.06462274447702879,0.4260021336745746,0.2853080486458042,1.3567838187156251,1.3876000297351232,-0.5630378409110967,0.7749816346684913
